state,city,town,zip
"Central Province, LK","Kandy, 2","Kandy, KY","20000, KY"
"Central Province, LK","Halloluwa, 2","Kandy, KY","20032, KY"
"Central Province, LK","Yatihalagala, 2","Kandy, KY","20034, KY"
"Central Province, LK","lhala Kobbekaduwa, 2","Kandy, KY","20042, KY"
"Central Province, LK","Sangarajapura, 2","Kandy, KY","20044, KY"
"Central Province, LK","Kulugammana, 2","Kandy, KY","20048, KY"
"Central Province, LK","Uduwa, 2","Kandy, KY","20052, KY"
"Central Province, LK","Hataraliyadda, 2","Kandy, KY","20060, KY"
"Central Province, LK","Aludeniya, 2","Kandy, KY","20062, KY"
"Central Province, LK","Dedunupitiya, 2","Kandy, KY","20068, KY"
"Central Province, LK","Nugawela, 2","Kandy, KY","20072, KY"
"Central Province, LK","Werellagama, 2","Kandy, KY","20080, KY"
"Central Province, LK","Pallekotuwa, 2","Kandy, KY","20084, KY"
"Central Province, LK","Kumburegama, 2","Kandy, KY","20086, KY"
"Central Province, LK","Harankahawa, 2","Kandy, KY","20092, KY"
"Central Province, LK","Udahingulwala, 2","Kandy, KY","20094, KY"
"Central Province, LK","Gallellagama, 2","Kandy, KY","20095, KY"
"Central Province, LK","Galagedara, 2","Kandy, KY","20100, KY"
"Central Province, LK","Poholiyadda, 2","Kandy, KY","20106, KY"
"Central Province, LK","Wettawa, 2","Kandy, KY","20108, KY"
"Central Province, LK","Minigamuwa, 2","Kandy, KY","20109, KY"
"Central Province, LK","Pujapitiya, 2","Kandy, KY","20112, KY"
"Central Province, LK","Pattiya Watta, 2","Kandy, KY","20118, KY"
"Central Province, LK","Medawala Harispattuwa, 2","Kandy, KY","20120, KY"
"Central Province, LK","Dolapihilla, 2","Kandy, KY","20126, KY"
"Central Province, LK","Rambukwella, 2","Kandy, KY","20128, KY"
"Central Province, LK","Batugoda, 2","Kandy, KY","20132, KY"
"Central Province, LK","Watagoda Harispattuwa, 2","Kandy, KY","20134, KY"
"Central Province, LK","Ambatenna, 2","Kandy, KY","20136, KY"
"Central Province, LK","Alawatugoda, 2","Kandy, KY","20140, KY"
"Central Province, LK","Wilanagama, 2","Kandy, KY","20142, KY"
"Central Province, LK","Ankumbura, 2","Kandy, KY","20150, KY"
"Central Province, LK","Galhinna, 2","Kandy, KY","20152, KY"
"Central Province, LK","Batagolladeniya, 2","Kandy, KY","20154, KY"
"Central Province, LK","Ampitiya, 2","Kandy, KY","20160, KY"
"Central Province, LK","Uduwela, 2","Kandy, KY","20164, KY"
"Central Province, LK","Tennekumbura, 2","Kandy, KY","20166, KY"
"Central Province, LK","Kundasale, 2","Kandy, KY","20168, KY"
"Central Province, LK","Menikhinna, 2","Kandy, KY","20170, KY"
"Central Province, LK","Lunuketiya Maditta, 2","Kandy, KY","20172, KY"
"Central Province, LK","Naranpanawa, 2","Kandy, KY","20176, KY"
"Central Province, LK","Rajawella, 2","Kandy, KY","20180, KY"
"Central Province, LK","Gomagoda, 2","Kandy, KY","20184, KY"
"Central Province, LK","Kengalla, 2","Kandy, KY","20186, KY"
"Central Province, LK","Gurudeniya, 2","Kandy, KY","20189, KY"
"Central Province, LK","Nattarampotha, 2","Kandy, KY","20194, KY"
"Central Province, LK","Pilawala, 2","Kandy, KY","20196, KY"
"Central Province, LK","Ketawala Leula, 2","Kandy, KY","20198, KY"
"Central Province, LK","Talatuoya, 2","Kandy, KY","20200, KY"
"Central Province, LK","Etulgama, 2","Kandy, KY","20202, KY"
"Central Province, LK","Nugaliyadda, 2","Kandy, KY","20204, KY"
"Central Province, LK","Kapuliyadde, 2","Kandy, KY","20206, KY"
"Central Province, LK","Marassana, 2","Kandy, KY","20210, KY"
"Central Province, LK","Kolabissa, 2","Kandy, KY","20212, KY"
"Central Province, LK","Godamunna, 2","Kandy, KY","20214, KY"
"Central Province, LK","Mahamedagama, 2","Kandy, KY","20216, KY"
"Central Province, LK","Bawlana, 2","Kandy, KY","20218, KY"
"Central Province, LK","Murutalawa, 2","Kandy, KY","20232, KY"
"Central Province, LK","Yahalatenna, 2","Kandy, KY","20234, KY"
"Central Province, LK","Polgolla, 2","Kandy, KY","20250, KY"
"Central Province, LK","Madawala Bazaar, 2","Kandy, KY","20260, KY"
"Central Province, LK","Gunnepana, 2","Kandy, KY","20270, KY"
"Central Province, LK","Kadugannawa, 2","Kandy, KY","20300, KY"
"Central Province, LK","Ketakumbura, 2","Kandy, KY","20306, KY"
"Central Province, LK","Balana, 2","Kandy, KY","20308, KY"
"Central Province, LK","Peradeniya, 2","Kandy, KY","20400, KY"
"Central Province, LK","Uda Peradeniya, 2","Kandy, KY","20404, KY"
"Central Province, LK","Megoda Kalugamuwa, 2","Kandy, KY","20409, KY"
"Central Province, LK","Hindagala, 2","Kandy, KY","20414, KY"
"Central Province, LK","Nillambe, 2","Kandy, KY","20418, KY"
"Central Province, LK","Galaha, 2","Kandy, KY","20420, KY"
"Central Province, LK","Deltota, 2","Kandy, KY","20430, KY"
"Central Province, LK","Handawalapitiya, 2","Kandy, KY","20438, KY"
"Central Province, LK","Hewaheta, 2","Kandy, KY","20440, KY"
"Central Province, LK","Kiribathkumbura, 2","Kandy, KY","20442, KY"
"Central Province, LK","Pilimatalawa, 2","Kandy, KY","20450, KY"
"Central Province, LK","Wattappola, 2","Kandy, KY","20454, KY"
"Central Province, LK","Danture, 2","Kandy, KY","20465, KY"
"Central Province, LK","Menikdiwela, 2","Kandy, KY","20470, KY"
"Central Province, LK","Handessa, 2","Kandy, KY","20480, KY"
"Central Province, LK","Leemagahakotuwa, 2","Kandy, KY","20482, KY"
"Central Province, LK","Gampola, 2","Kandy, KY","20500, KY"
"Central Province, LK","Udahentenna, 2","Kandy, KY","20506, KY"
"Central Province, LK","Dolosbage, 2","Kandy, KY","20510, KY"
"Central Province, LK","Pattitalawa, 2","Kandy, KY","20511, KY"
"Central Province, LK","Meetalawa, 2","Kandy, KY","20512, KY"
"Central Province, LK","Hondiyadeniya, 2","Kandy, KY","20524, KY"
"Central Province, LK","Muruthagahamulla, 2","Kandy, KY","20526, KY"
"Central Province, LK","Doluwa, 2","Kandy, KY","20532, KY"
"Central Province, LK","Panwilatenna, 2","Kandy, KY","20544, KY"
"Central Province, LK","Pupuressa, 2","Kandy, KY","20546, KY"
"Central Province, LK","Ulapane, 2","Kandy, KY","20562, KY"
"Central Province, LK","Mawatura, 2","Kandy, KY","20564, KY"
"Central Province, LK","Atabage, 2","Kandy, KY","20574, KY"
"Central Province, LK","Paradeka, 2","Kandy, KY","20578, KY"
"Central Province, LK","Pussellawa, 2","Kandy, KY","20580, KY"
"Central Province, LK","Weligalla, 2","Kandy, KY","20610, KY"
"Central Province, LK","Gelioya, 2","Kandy, KY","20620, KY"
"Central Province, LK","Velamboda, 2","Kandy, KY","20640, KY"
"Central Province, LK","Bambaragahaela, 2","Kandy, KY","20644, KY"
"Central Province, LK","Nawalapitiya, 2","Kandy, KY","20650, KY"
"Central Province, LK","Pasbage, 2","Kandy, KY","20654, KY"
"Central Province, LK","Gonawalapatana, 2","Kandy, KY","20656, KY"
"Central Province, LK","Dekinda, 2","Kandy, KY","20658, KY"
"Central Province, LK","Mapakanda, 2","Kandy, KY","20662, KY"
"Central Province, LK","Galaboda, 2","Kandy, KY","20664, KY"
"Central Province, LK","Weligampola, 2","Kandy, KY","20666, KY"
"Central Province, LK","Rambukpitiya, 2","Kandy, KY","20676, KY"
"Central Province, LK","Mailapitiya, 2","Kandy, KY","20702, KY"
"Central Province, LK","Unuwinna, 2","Kandy, KY","20708, KY"
"Central Province, LK","Hanguranketha, 2","Kandy, KY","20710, KY"
"Central Province, LK","Gonagantenna, 2","Kandy, KY","20712, KY"
"Central Province, LK","Marymount Colony, 2","Kandy, KY","20714, KY"
"Central Province, LK","Udawatta, 2","Kandy, KY","20722, KY"
"Central Province, LK","lllagolla, 2","Kandy, KY","20724, KY"
"Central Province, LK","Rikillagaskada, 2","Kandy, KY","20730, KY"
"Central Province, LK","Ekiriya, 2","Kandy, KY","20732, KY"
"Central Province, LK","Pallebowala, 2","Kandy, KY","20734, KY"
"Central Province, LK","Karandagolla, 2","Kandy, KY","20738, KY"
"Central Province, LK","Elamulla, 2","Kandy, KY","20742, KY"
"Central Province, LK","Mandaram Nuwara, 2","Kandy, KY","20744, KY"
"Central Province, LK","Maturata, 2","Kandy, KY","20748, KY"
"Central Province, LK","Katugastota, 2","Kandy, KY","20800, KY"
"Central Province, LK","Udatalawinna, 2","Kandy, KY","20802, KY"
"Central Province, LK","Wattegama, 2","Kandy, KY","20810, KY"
"Central Province, LK","Doragamuwa, 2","Kandy, KY","20816, KY"
"Central Province, LK","Rathukohodigala, 2","Kandy, KY","20818, KY"
"Central Province, LK","Jambugahapitiya, 2","Kandy, KY","20822, KY"
"Central Province, LK","Dunuwila, 2","Kandy, KY","20824, KY"
"Central Province, LK","Makkanigama, 2","Kandy, KY","20828, KY"
"Central Province, LK","Panvila, 2","Kandy, KY","20830, KY"
"Central Province, LK","Tawalantenna, 2","Kandy, KY","20838, KY"
"Central Province, LK","Madulkele, 2","Kandy, KY","20840, KY"
"Central Province, LK","Akurana, 2","Kandy, KY","20850, KY"
"Central Province, LK","Teldeniya, 2","Kandy, KY","20900, KY"
"Central Province, LK","Kumbukkandura, 2","Kandy, KY","20902, KY"
"Central Province, LK","Senarathwela, 2","Kandy, KY","20904, KY"
"Central Province, LK","Putuhapuwa, 2","Kandy, KY","20906, KY"
"Central Province, LK","Werapitya, 2","Kandy, KY","20908, KY"
"Central Province, LK","Wendaruwa, 2","Kandy, KY","20914, KY"
"Central Province, LK","Udispattuwa, 2","Kandy, KY","20916, KY"
"Central Province, LK","Makuldeniya, 2","Kandy, KY","20921, KY"
"Central Province, LK","Rangala, 2","Kandy, KY","20922, KY"
"Central Province, LK","Mimure, 2","Kandy, KY","20923, KY"
"Central Province, LK","Kahataliyadda, 2","Kandy, KY","20924, KY"
"Central Province, LK","Kalugala, 2","Kandy, KY","20926, KY"
"Central Province, LK","Kobonila, 2","Kandy, KY","20928, KY"
"Central Province, LK","Bopana, 2","Kandy, KY","20932, KY"
"Central Province, LK","Uduwahinna, 2","Kandy, KY","20934, KY"
"Central Province, LK","Madugalla, 2","Kandy, KY","20938, KY"
"Central Province, LK","Medamahanuwara, 2","Kandy, KY","20940, KY"
"Central Province, LK","Mahadoraliyadda, 2","Kandy, KY","20945, KY"
"Central Province, LK","Hunnasgiriya, 2","Kandy, KY","20948, KY"
"Central Province, LK","Ududumbara, 2","Kandy, KY","20950, KY"
"Central Province, LK","Hasalaka, 2","Kandy, KY","20960, KY"
"Central Province, LK","Ulpothagama, 2","Kandy, KY","20965, KY"
"Central Province, LK","Batumulla, 2","Kandy, KY","20966, KY"
"Central Province, LK","Barawardhana Oya, 2","Kandy, KY","20967, KY"
"Central Province, LK","Kolongoda, 2","Kandy, KY","20971, KY"
"Central Province, LK","Weragantota, 2","Kandy, KY","20982, KY"
"Central Province, LK","Minipe, 2","Kandy, KY","20983, KY"
"Central Province, LK","Handaganawa, 2","Kandy, KY","20984, KY"
"Central Province, LK","Ambagahapelessa, 2","Kandy, KY","20986, KY"
"Central Province, LK","Rantembe, 2","Kandy, KY","20990, KY"
"Central Province, LK","Matale, 2","Matale, MT","21000, MT"
"Central Province, LK","Alwatta, 2","Matale, MT","21004, MT"
"Central Province, LK","Udatenna, 2","Matale, MT","21006, MT"
"Central Province, LK","Leliambe, 2","Matale, MT","21008, MT"
"Central Province, LK","Wehigala, 2","Matale, MT","21009, MT"
"Central Province, LK","Elkaduwa, 2","Matale, MT","21012, MT"
"Central Province, LK","Karagahinna, 2","Matale, MT","21014, MT"
"Central Province, LK","Katudeniya, 2","Matale, MT","21016, MT"
"Central Province, LK","Ovilikanda, 2","Matale, MT","21020, MT"
"Central Province, LK","Dankanda, 2","Matale, MT","21032, MT"
"Central Province, LK","Kiwula, 2","Matale, MT","21042, MT"
"Central Province, LK","Muwandeniya, 2","Matale, MT","21044, MT"
"Central Province, LK","Dunkolawatta, 2","Matale, MT","21046, MT"
"Central Province, LK","Walawela, 2","Matale, MT","21048, MT"
"Central Province, LK","Udasgiriya, 2","Matale, MT","21051, MT"
"Central Province, LK","Dullewa, 2","Matale, MT","21054, MT"
"Central Province, LK","Melipitiya, 2","Matale, MT","21055, MT"
"Central Province, LK","Yatawatta, 2","Matale, MT","21056, MT"
"Central Province, LK","Selagama, 2","Matale, MT","21058, MT"
"Central Province, LK","Metihakka, 2","Matale, MT","21062, MT"
"Central Province, LK","Imbulgolla, 2","Matale, MT","21064, MT"
"Central Province, LK","Kaikawala, 2","Matale, MT","21066, MT"
"Central Province, LK","Gammaduwa, 2","Matale, MT","21068, MT"
"Central Province, LK","Palapathwela, 2","Matale, MT","21070, MT"
"Central Province, LK","Kavudupelella, 2","Matale, MT","21072, MT"
"Central Province, LK","Madawala Ulpotha, 2","Matale, MT","21074, MT"
"Central Province, LK","Opalgala, 2","Matale, MT","21076, MT"
"Central Province, LK","Nalanda, 2","Matale, MT","21082, MT"
"Central Province, LK","Naula, 2","Matale, MT","21090, MT"
"Central Province, LK","Lenadora, 2","Matale, MT","21094, MT"
"Central Province, LK","Dambulla, 2","Matale, MT","21100, MT"
"Central Province, LK","Kandalama, 2","Matale, MT","21106, MT"
"Central Province, LK","Erawula Junction, 2","Matale, MT","21108, MT"
"Central Province, LK","Kalundawa, 2","Matale, MT","21112, MT"
"Central Province, LK","Wewalawewa, 2","Matale, MT","21114, MT"
"Central Province, LK","Talakiriyagama, 2","Matale, MT","21116, MT"
"Central Province, LK","Sigiriya, 2","Matale, MT","21120, MT"
"Central Province, LK","Kibissa, 2","Matale, MT","21122, MT"
"Central Province, LK","Inamaluwa, 2","Matale, MT","21124, MT"
"Central Province, LK","Mahawela, 2","Matale, MT","21140, MT"
"Central Province, LK","Akuramboda, 2","Matale, MT","21142, MT"
"Central Province, LK","Mananwatta, 2","Matale, MT","21144, MT"
"Central Province, LK","Pallepola, 2","Matale, MT","21152, MT"
"Central Province, LK","Millawana, 2","Matale, MT","21154, MT"
"Central Province, LK","Madipola, 2","Matale, MT","21156, MT"
"Central Province, LK","Wahacotte, 2","Matale, MT","21160, MT"
"Central Province, LK","Galewela, 2","Matale, MT","21200, MT"
"Central Province, LK","Dewahuwa, 2","Matale, MT","21206, MT"
"Central Province, LK","Bambaragaswewa, 2","Matale, MT","21212, MT"
"Central Province, LK","Beligamuwa, 2","Matale, MT","21214, MT"
"Central Province, LK","Ukuwela, 2","Matale, MT","21300, MT"
"Central Province, LK","Rattota, 2","Matale, MT","21400, MT"
"Central Province, LK","Etanawala, 2","Matale, MT","21402, MT"
"Central Province, LK","Gangala Puwakpitiya, 2","Matale, MT","21404, MT"
"Central Province, LK","lllukkumbura, 2","Matale, MT","21406, MT"
"Central Province, LK","Welangahawatte, 2","Matale, MT","21408, MT"
"Central Province, LK","Kongahawela, 2","Matale, MT","21500, MT"
"Central Province, LK","Pubbiliya, 2","Matale, MT","21502, MT"
"Central Province, LK","Ambana, 2","Matale, MT","21504, MT"
"Central Province, LK","Talagoda Junction, 2","Matale, MT","21506, MT"
"Central Province, LK","Ataragallewa, 2","Matale, MT","21512, MT"
"Central Province, LK","Hattota Amuna, 2","Matale, MT","21514, MT"
"Central Province, LK","Laggala Pallegama, 2","Matale, MT","21520, MT"
"Central Province, LK","Ranamuregama, 2","Matale, MT","21524, MT"
"Central Province, LK","Wilgamuwa, 2","Matale, MT","21530, MT"
"Central Province, LK","Perakanatta, 2","Matale, MT","21532, MT"
"Central Province, LK","Nugagolla, 2","Matale, MT","21534, MT"
"Central Province, LK","Handungamuwa, 2","Matale, MT","21536, MT"
"Central Province, LK","Dunuwilapitiya, 2","Matale, MT","21538, MT"
"Central Province, LK","Devagiriya, 2","Matale, MT","21552, MT"
"Central Province, LK","Maraka, 2","Matale, MT","21554, MT"
"Central Province, LK","Kotmale, 2","Nuwara Eliya, NW","20560, NW"
"Central Province, LK","Maswela, 2","Nuwara Eliya, NW","20566, NW"
"Central Province, LK","Doragala, 2","Nuwara Eliya, NW","20567, NW"
"Central Province, LK","Nayapana Janapadaya, 2","Nuwara Eliya, NW","20568, NW"
"Central Province, LK","Katukitula, 2","Nuwara Eliya, NW","20588, NW"
"Central Province, LK","Ramboda, 2","Nuwara Eliya, NW","20590, NW"
"Central Province, LK","Labukele, 2","Nuwara Eliya, NW","20592, NW"
"Central Province, LK","Ketaboola, 2","Nuwara Eliya, NW","20660, NW"
"Central Province, LK","Hapugastalawa, 2","Nuwara Eliya, NW","20668, NW"
"Central Province, LK","Harangalagama, 2","Nuwara Eliya, NW","20669, NW"
"Central Province, LK","Nawathispane, 2","Nuwara Eliya, NW","20670, NW"
"Central Province, LK","Ambagamuwa Udabulathgama, 2","Nuwara Eliya, NW","20678, NW"
"Central Province, LK","Ginigathena, 2","Nuwara Eliya, NW","20680, NW"
"Central Province, LK","Pitawala, 2","Nuwara Eliya, NW","20682, NW"
"Central Province, LK","Dagampitiya, 2","Nuwara Eliya, NW","20684, NW"
"Central Province, LK","Ambatalawa, 2","Nuwara Eliya, NW","20686, NW"
"Central Province, LK","Kelanigama, 2","Nuwara Eliya, NW","20688, NW"
"Central Province, LK","Padiyapelella, 2","Nuwara Eliya, NW","20750, NW"
"Central Province, LK","Munwatta, 2","Nuwara Eliya, NW","20752, NW"
"Central Province, LK","Hatton, 2","Nuwara Eliya, NW","22000, NW"
"Central Province, LK","Dunukedeniya, 2","Nuwara Eliya, NW","22002, NW"
"Central Province, LK","Rozella, 2","Nuwara Eliya, NW","22008, NW"
"Central Province, LK","Watawala, 2","Nuwara Eliya, NW","22010, NW"
"Central Province, LK","Patana, 2","Nuwara Eliya, NW","22012, NW"
"Central Province, LK","Wijebahukanda, 2","Nuwara Eliya, NW","22018, NW"
"Central Province, LK","Maldeniya, 2","Nuwara Eliya, NW","22021, NW"
"Central Province, LK","Hedunuwewa, 2","Nuwara Eliya, NW","22024, NW"
"Central Province, LK","Widulipura, 2","Nuwara Eliya, NW","22032, NW"
"Central Province, LK","Laxapana, 2","Nuwara Eliya, NW","22034, NW"
"Central Province, LK","Morahenagama, 2","Nuwara Eliya, NW","22036, NW"
"Central Province, LK","Kottellena, 2","Nuwara Eliya, NW","22040, NW"
"Central Province, LK","Hangarapitiya, 2","Nuwara Eliya, NW","22044, NW"
"Central Province, LK","Hitigegama, 2","Nuwara Eliya, NW","22046, NW"
"Central Province, LK","Dikoya, 2","Nuwara Eliya, NW","22050, NW"
"Central Province, LK","Norwood, 2","Nuwara Eliya, NW","22058, NW"
"Central Province, LK","Bogawantalawa, 2","Nuwara Eliya, NW","22060, NW"
"Central Province, LK","Maskeliya, 2","Nuwara Eliya, NW","22070, NW"
"Central Province, LK","Nissanka Uyana, 2","Nuwara Eliya, NW","22075, NW"
"Central Province, LK","Kotagala, 2","Nuwara Eliya, NW","22080, NW"
"Central Province, LK","Lindula, 2","Nuwara Eliya, NW","22090, NW"
"Central Province, LK","Agarapathana, 2","Nuwara Eliya, NW","22094, NW"
"Central Province, LK","Bopattalawa, 2","Nuwara Eliya, NW","22095, NW"
"Central Province, LK","Dayagama Bazaar, 2","Nuwara Eliya, NW","22096, NW"
"Central Province, LK","Talawakele, 2","Nuwara Eliya, NW","22100, NW"
"Central Province, LK","Watagoda, 2","Nuwara Eliya, NW","22110, NW"
"Central Province, LK","Pundaluoya, 2","Nuwara Eliya, NW","22120, NW"
"Central Province, LK","Nanuoya, 2","Nuwara Eliya, NW","22150, NW"
"Central Province, LK","Nuwara Eliya, 2","Nuwara Eliya, NW","22200, NW"
"Central Province, LK","Santhipura, 2","Nuwara Eliya, NW","22202, NW"
"Central Province, LK","Haggala, 2","Nuwara Eliya, NW","22208, NW"
"Central Province, LK","Ruwaneliya, 2","Nuwara Eliya, NW","22212, NW"
"Central Province, LK","Mipilimana, 2","Nuwara Eliya, NW","22214, NW"
"Central Province, LK","Ambewela, 2","Nuwara Eliya, NW","22216, NW"
"Central Province, LK","Kandapola, 2","Nuwara Eliya, NW","22220, NW"
"Central Province, LK","Gonakele, 2","Nuwara Eliya, NW","22226, NW"
"Central Province, LK","Halgranoya, 2","Nuwara Eliya, NW","22240, NW"
"Central Province, LK","Rupaha, 2","Nuwara Eliya, NW","22245, NW"
"Central Province, LK","Kumbukwela, 2","Nuwara Eliya, NW","22246, NW"
"Central Province, LK","Udapussallawa, 2","Nuwara Eliya, NW","22250, NW"
"Central Province, LK","Kurupanawela, 2","Nuwara Eliya, NW","22252, NW"
"Central Province, LK","Mipanawa, 2","Nuwara Eliya, NW","22254, NW"
"Central Province, LK","Madulla, 2","Nuwara Eliya, NW","22256, NW"
"Central Province, LK","Harasbedda, 2","Nuwara Eliya, NW","22262, NW"
"Central Province, LK","Walapane, 2","Nuwara Eliya, NW","22270, NW"
"Central Province, LK","Kumbalgamuwa, 2","Nuwara Eliya, NW","22272, NW"
"Central Province, LK","Keerthi Bandarapura, 2","Nuwara Eliya, NW","22274, NW"
"Central Province, LK","Nildandahinna, 2","Nuwara Eliya, NW","22280, NW"
"Central Province, LK","Kalaganwatta, 2","Nuwara Eliya, NW","22282, NW"
"Central Province, LK","Udamadura, 2","Nuwara Eliya, NW","22285, NW"
"Central Province, LK","Teripeha, 2","Nuwara Eliya, NW","22287, NW"
"North Central Province, LK","Anuradhapura, 2","Anuradhapura, AD","50000, AD"
"North Central Province, LK","Perimiyankulama, 2","Anuradhapura, AD","50004, AD"
"North Central Province, LK","Galkadawala, 2","Anuradhapura, AD","50006, AD"
"North Central Province, LK","Saliyapura, 2","Anuradhapura, AD","50008, AD"
"North Central Province, LK","Viharapalugama, 2","Anuradhapura, AD","50012, AD"
"North Central Province, LK","Elayapattuwa, 2","Anuradhapura, AD","50014, AD"
"North Central Province, LK","Tantirimale, 2","Anuradhapura, AD","50016, AD"
"North Central Province, LK","Pemaduwa, 2","Anuradhapura, AD","50020, AD"
"North Central Province, LK","Mahawilachchiya, 2","Anuradhapura, AD","50022, AD"
"North Central Province, LK","Pandulagama, 2","Anuradhapura, AD","50029, AD"
"North Central Province, LK","Gnanikulama, 2","Anuradhapura, AD","50036, AD"
"North Central Province, LK","Sravasthipura, 2","Anuradhapura, AD","50042, AD"
"North Central Province, LK","Hidogama, 2","Anuradhapura, AD","50044, AD"
"North Central Province, LK","Nachchaduwa, 2","Anuradhapura, AD","50046, AD"
"North Central Province, LK","Parasangahawewa, 2","Anuradhapura, AD","50055, AD"
"North Central Province, LK","Gambirigaswewa, 2","Anuradhapura, AD","50057, AD"
"North Central Province, LK","Kurundankulama, 2","Anuradhapura, AD","50062, AD"
"North Central Province, LK","Galkulama, 2","Anuradhapura, AD","50064, AD"
"North Central Province, LK","Uttimaduwa, 2","Anuradhapura, AD","50067, AD"
"North Central Province, LK","Sivalakulama, 2","Anuradhapura, AD","50068, AD"
"North Central Province, LK","Tirappane, 2","Anuradhapura, AD","50072, AD"
"North Central Province, LK","Maradankadawala, 2","Anuradhapura, AD","50080, AD"
"North Central Province, LK","Walagambahuwa, 2","Anuradhapura, AD","50086, AD"
"North Central Province, LK","Labunoruwa, 2","Anuradhapura, AD","50088, AD"
"North Central Province, LK","Kekirawa, 2","Anuradhapura, AD","50100, AD"
"North Central Province, LK","Tammennawa, 2","Anuradhapura, AD","50104, AD"
"North Central Province, LK","Vijithapura, 2","Anuradhapura, AD","50110, AD"
"North Central Province, LK","Palagala, 2","Anuradhapura, AD","50111, AD"
"North Central Province, LK","Andiyagala, 2","Anuradhapura, AD","50112, AD"
"North Central Province, LK","Galkiriyagama, 2","Anuradhapura, AD","50120, AD"
"North Central Province, LK","Pubbogama, 2","Anuradhapura, AD","50122, AD"
"North Central Province, LK","Halmillawa Dambulla, 2","Anuradhapura, AD","50124, AD"
"North Central Province, LK","Maha Elagamuwa, 2","Anuradhapura, AD","50126, AD"
"North Central Province, LK","Madatugama, 2","Anuradhapura, AD","50130, AD"
"North Central Province, LK","Kitulhitiyawa, 2","Anuradhapura, AD","50132, AD"
"North Central Province, LK","Ganewalpola, 2","Anuradhapura, AD","50142, AD"
"North Central Province, LK","Palugaswewa, 2","Anuradhapura, AD","50144, AD"
"North Central Province, LK","Habarana, 2","Anuradhapura, AD","50150, AD"
"North Central Province, LK","Awukana, 2","Anuradhapura, AD","50169, AD"
"North Central Province, LK","Galnewa, 2","Anuradhapura, AD","50170, AD"
"North Central Province, LK","Kalankuttiya, 2","Anuradhapura, AD","50174, AD"
"North Central Province, LK","Hurigaswewa, 2","Anuradhapura, AD","50176, AD"
"North Central Province, LK","Negampaha, 2","Anuradhapura, AD","50180, AD"
"North Central Province, LK","Maneruwa, 2","Anuradhapura, AD","50182, AD"
"North Central Province, LK","Siyambalewa, 2","Anuradhapura, AD","50184, AD"
"North Central Province, LK","Mahabulankulama, 2","Anuradhapura, AD","50196, AD"
"North Central Province, LK","Nochchiyagama, 2","Anuradhapura, AD","50200, AD"
"North Central Province, LK","Pahala Halmillewa, 2","Anuradhapura, AD","50206, AD"
"North Central Province, LK","Udunuwara Colony, 2","Anuradhapura, AD","50207, AD"
"North Central Province, LK","Galadivulwewa, 2","Anuradhapura, AD","50210, AD"
"North Central Province, LK","Ranorawa, 2","Anuradhapura, AD","50212, AD"
"North Central Province, LK","Dunumadalawa, 2","Anuradhapura, AD","50214, AD"
"North Central Province, LK","Pahala Maragahawe, 2","Anuradhapura, AD","50220, AD"
"North Central Province, LK","Horiwila, 2","Anuradhapura, AD","50222, AD"
"North Central Province, LK","Gemunupura, 2","Anuradhapura, AD","50224, AD"
"North Central Province, LK","Kalaoya, 2","Anuradhapura, AD","50226, AD"
"North Central Province, LK","Talawa, 2","Anuradhapura, AD","50230, AD"
"North Central Province, LK","Karagahawewa, 2","Anuradhapura, AD","50232, AD"
"North Central Province, LK","Malwanagama, 2","Anuradhapura, AD","50236, AD"
"North Central Province, LK","Tambuttegama, 2","Anuradhapura, AD","50240, AD"
"North Central Province, LK","Telhiriyawa, 2","Anuradhapura, AD","50242, AD"
"North Central Province, LK","Pahalagama, 2","Anuradhapura, AD","50244, AD"
"North Central Province, LK","Rajanganaya, 2","Anuradhapura, AD","50246, AD"
"North Central Province, LK","Angamuwa, 2","Anuradhapura, AD","50248, AD"
"North Central Province, LK","Kiralogama, 2","Anuradhapura, AD","50259, AD"
"North Central Province, LK","Eppawala, 2","Anuradhapura, AD","50260, AD"
"North Central Province, LK","Katiyawa, 2","Anuradhapura, AD","50261, AD"
"North Central Province, LK","lhala Halmillewa, 2","Anuradhapura, AD","50262, AD"
"North Central Province, LK","Mahailluppallama, 2","Anuradhapura, AD","50270, AD"
"North Central Province, LK","lpologama, 2","Anuradhapura, AD","50280, AD"
"North Central Province, LK","Kagama, 2","Anuradhapura, AD","50282, AD"
"North Central Province, LK","Senapura, 2","Anuradhapura, AD","50284, AD"
"North Central Province, LK","Kalakarambewa, 2","Anuradhapura, AD","50288, AD"
"North Central Province, LK","Mihintale, 2","Anuradhapura, AD","50300, AD"
"North Central Province, LK","lhalagama, 2","Anuradhapura, AD","50304, AD"
"North Central Province, LK","Mahakanadarawa, 2","Anuradhapura, AD","50306, AD"
"North Central Province, LK","Maradankalla, 2","Anuradhapura, AD","50308, AD"
"North Central Province, LK","Kahatagasdigiliya, 2","Anuradhapura, AD","50320, AD"
"North Central Province, LK","Mulkiriyawa, 2","Anuradhapura, AD","50324, AD"
"North Central Province, LK","Parakumpura, 2","Anuradhapura, AD","50326, AD"
"North Central Province, LK","Mahapothana, 2","Anuradhapura, AD","50327, AD"
"North Central Province, LK","Megodawewa, 2","Anuradhapura, AD","50334, AD"
"North Central Province, LK","Padikaramaduwa, 2","Anuradhapura, AD","50338, AD"
